transcript,start_time,end_time,participant,hand_labeled
Bdb001,0.056,1.861,me011,0
Bdb001,2.674,6.315,me011,0
Bdb001,6.26,6.864,fe016,0
Bdb001,7.516,8.757,fe016,0
Bdb001,8.169,11.1,me011,0
Bdb001,9.751,13.549,fe016,0
Bdb001,13.21,14.476,me018,0
Bdb001,14.457,15.844,fe016,0
Bdb001,16.383,19.49,me011,0
Bdb001,17.937,20.021,me018,0
Bdb001,19.536,20.461,fe016,0
Bdb001,20.26,20.738,me011,0
Bdb001,20.48,21.926,me018,0
Bdb001,20.716,25.543,fe016,0
Bdb001,21.356,21.992,me011,0
Bdb001,22.525,23.41,me011,0
Bdb001,25.84,29.211,me018,0
Bdb001,28.333,30.496,me001,0
Bdb001,28.859,29.472,me011,0
Bdb001,29.818,33.43,me018,0
Bdb001,32.823,35.53,me011,0
Bdb001,33.957,34.639,me018,0
Bdb001,34.187,34.943,fe016,0
Bdb001,35.993,40.297,fe016,0
Bdb001,36.669,44.968,me018,0
Bdb001,44.734,47.514,fe016,0
Bdb001,46.488,47.395,me011,0
Bdb001,48.6,55.714,fe016,0
Bdb001,55.714,57.412,fe016,0
Bdb001,56.129,59.36,me011,0
Bdb001,57.948,61.094,fe016,0
Bdb001,61.094,67.03,fe016,0
Bdb001,62.011,62.586,me011,0
Bdb001,67.49,72.152,fe016,0
Bdb001,73.111,77.303,fe016,1
Bdb001,78.017,83.943,fe016,1
Bdb001,84.244,90.022,fe016,1
Bdb001,90.022,94.158,fe016,0
Bdb001,94.158,100.561,fe016,0
Bdb001,101.129,103.861,fe016,0
Bdb001,103.861,112.257,fe016,0
Bdb001,110.526,112.019,me011,0
Bdb001,112.019,116.86,me011,0
Bdb001,113.179,114.7,fe016,0
Bdb001,114.408,115.049,me018,0
Bdb001,117.34,120.182,me011,0
Bdb001,120.636,123.369,me011,0
Bdb001,123.597,125.709,me011,0
Bdb001,125.474,126.553,fe016,0
Bdb001,127.472,131.596,fe016,0
Bdb001,127.834,128.201,me011,0
Bdb001,131.563,132.117,me011,0
Bdb001,131.596,134.662,fe016,0
Bdb001,133.679,136.37,me011,1
Bdb001,135.136,137.226,fe016,0
Bdb001,136.923,141.477,me011,0
Bdb001,141.259,141.855,fe016,0
Bdb001,141.895,148.94,me011,0
Bdb001,149.237,150.122,me011,0
Bdb001,150.701,151.886,me011,0
Bdb001,152.86,155.211,me011,0
Bdb001,157.7,158.998,me011,0
Bdb001,159.348,161.496,me011,0
Bdb001,161.496,164.673,me011,0
Bdb001,163.804,166.45,mn017,0
Bdb001,164.687,166.23,fe016,0
Bdb001,166.317,168.818,me011,0
Bdb001,169.801,171.142,me011,0
Bdb001,171.142,174.098,me011,0
Bdb001,174.449,180.318,me011,0
Bdb001,181.402,187.51,me011,0
Bdb001,186.014,186.845,fe016,0
Bdb001,189.839,194.543,me011,0
Bdb001,194.543,198.571,me011,0
Bdb001,199.281,200.91,me011,0
Bdb001,201.98,206.185,me011,0
Bdb001,206.185,210.83,me011,0
Bdb001,210.68,211.535,fe016,0
Bdb001,211.358,217.266,me011,0
Bdb001,218.244,222.89,me011,0
Bdb001,225.265,225.644,mn017,0
Bdb001,225.757,228.186,me011,0
Bdb001,227.948,230.553,mn017,0
Bdb001,228.806,229.7,me011,0
Bdb001,231.17,232.109,me011,0
Bdb001,232.124,232.62,mn017,0
Bdb001,233.516,237.05,me011,0
Bdb001,240.261,247.43,me011,0
Bdb001,248.569,250.36,me011,0
Bdb001,253.494,255.84,me011,0
Bdb001,257.739,259.367,me011,0
Bdb001,260.847,261.953,me011,0
Bdb001,262.359,267.79,me011,0
Bdb001,267.79,269.548,me011,0
Bdb001,270.521,273.98,me011,0
Bdb001,273.44,276.299,fe016,0
Bdb001,276.554,278.056,me011,0
Bdb001,276.614,277.784,fe016,0
Bdb001,278.056,278.943,me011,0
Bdb001,279.305,281.402,me011,0
Bdb001,282.173,284.349,me011,0
Bdb001,284.349,288.78,me011,0
Bdb001,289.419,291.943,fe016,0
Bdb001,292.916,293.695,fe016,0
Bdb001,294.445,296.052,fe016,0
Bdb001,297.5,300.31,fe016,0
Bdb001,300.044,301.09,me011,0
Bdb001,300.71,301.123,fe016,0
Bdb001,301.657,304.228,fe016,0
Bdb001,305.027,311.325,fe016,0
Bdb001,305.259,306.043,mn017,0
Bdb001,311.797,318.324,fe016,0
Bdb001,318.606,324.537,fe016,0
Bdb001,325.169,327.93,fe016,0
Bdb001,328.346,333.434,fe016,0
Bdb001,333.916,337.78,fe016,0
Bdb001,334.041,335.243,mn017,0
Bdb001,336.996,342.309,mn017,0
Bdb001,338.247,338.912,fe016,0
Bdb001,342.309,348.423,mn017,0
Bdb001,345.709,347.684,fe016,0
Bdb001,347.779,351.36,me011,0
Bdb001,348.099,349.34,fe016,0
Bdb001,353.23,355.34,me011,0
Bdb001,355.68,362.22,mn017,0
Bdb001,357.746,358.438,me011,0
Bdb001,357.876,362.76,fe016,0
Bdb001,361.184,363.602,me011,0
Bdb001,363.513,364.37,fe016,0
Bdb001,363.602,368.335,me011,0
Bdb001,367.409,375.974,fe016,0
Bdb001,375.23,377.116,me011,0
Bdb001,375.429,376.427,mn017,0
Bdb001,378.191,384.146,mn017,0
Bdb001,378.349,379.241,fe016,0
Bdb001,378.373,379.707,me011,0
Bdb001,384.918,388.93,mn017,0
Bdb001,387.566,394.006,me011,0
Bdb001,394.524,401.24,mn017,0
Bdb001,400.638,406.919,fe016,0
Bdb001,406.818,412.388,me011,0
Bdb001,407.438,408.535,mn017,0
Bdb001,407.47,410.153,fe016,0
Bdb001,410.852,411.477,fe016,0
Bdb001,412.388,417.948,me011,0
Bdb001,417.125,419.342,fe016,0
Bdb001,418.194,419.67,me011,0
Bdb001,419.254,419.757,mn017,0
Bdb001,419.67,424.951,me011,0
Bdb001,424.93,429.541,fe016,0
Bdb001,427.383,428.628,me018,0
Bdb001,429.541,435.059,fe016,0
Bdb001,434.294,440.128,me011,0
Bdb001,440.231,441.201,fe016,0
Bdb001,441.128,447.319,me011,0
Bdb001,447.748,452.811,fe016,0
Bdb001,448.13,448.98,me011,0
Bdb001,451.077,451.565,me011,0
Bdb001,452.645,457.695,me011,0
Bdb001,453.662,454.255,fe016,0
Bdb001,457.759,458.313,fe016,0
Bdb001,458.363,461.828,me011,0
Bdb001,462.464,465.227,me011,0
Bdb001,463.347,464.83,fe016,0
Bdb001,464.964,469.414,me018,0
Bdb001,468.103,473.69,me011,0
Bdb001,470.374,470.786,me018,0
Bdb001,472.191,475.838,fe016,0
Bdb001,474.25,479.54,me011,0
Bdb001,478.498,484.531,mn017,0
Bdb001,484.531,489.345,mn017,0
Bdb001,485.461,486.45,me018,0
Bdb001,488.507,491.592,me018,0
Bdb001,489.048,492.199,me011,0
Bdb001,492.808,499.118,me011,0
Bdb001,496.57,499.123,fe016,0
Bdb001,499.62,502.85,me011,0
Bdb001,499.887,506.988,mn017,0
Bdb001,504.185,505.324,fe016,0
Bdb001,508.36,510.966,mn017,0
Bdb001,509.429,511.848,fe016,0
